date,cross,seed,branch,method,three,confirmed,ema_direction,ema_changes,signal,move_pips,pnl_pips,win
2024-02-26,EURUSD,108,亥,伏吟,申寅巳,false,up,2,SHORT,0.5,-0.5,0
2024-04-22,EURUSD,106,酉,伏吟,巳申寅,false,down,1,LONG,0.5,0.5,1
2025-07-02,EURUSD,118,酉,元首,午辰寅,false,up,1,SHORT,-7.3,7.3,1
2025-07-03,EURUSD,117,申,重審,子亥戌,false,up,1,SHORT,-42.6,42.6,1
2025-07-04,EURUSD,117,申,比用,子亥戌,false,up,0,SHORT,9.0,-9.0,0
2025-07-07,EURUSD,117,申,重審,子亥戌,false,up,0,SHORT,-72.6,72.6,1
2025-07-08,EURUSD,117,申,比用,子亥戌,false,down,1,LONG,16.9,16.9,1
2025-07-09,EURUSD,117,申,重審,丑子亥,true,down,1,SHORT,-6.1,6.1,1
2025-07-10,EURUSD,117,申,元首,卯寅丑,true,down,1,SHORT,-16.2,16.2,1
2025-07-11,EURUSD,117,申,元首,卯寅丑,true,down,1,SHORT,-16.3,16.3,1
2025-07-14,EURUSD,116,未,伏吟,寅巳申,false,down,1,LONG,0.2,0.2,1
2025-07-15,EURUSD,116,未,伏吟,酉辰戌,false,down,1,LONG,-64.4,-64.4,0
2025-07-16,EURUSD,116,未,伏吟,巳申寅,false,down,1,LONG,36.8,36.8,1
2025-07-17,EURUSD,116,未,伏吟,亥未丑,false,down,1,LONG,-41.5,-41.5,0
2025-07-18,EURUSD,115,午,比用,寅卯辰,true,down,0,SHORT,25.5,-25.5,0
2025-07-21,EURUSD,116,未,伏吟,卯子卯,true,down,0,SHORT,66.3,-66.3,0
2025-07-22,EURUSD,116,未,伏吟,亥辰戌,true,up,1,LONG,60.9,60.9,1
2025-07-23,EURUSD,117,申,涉害,亥酉未,true,up,1,LONG,15.9,15.9,1
2025-07-24,EURUSD,117,申,涉害,戌申午,false,up,1,SHORT,-19.8,19.8,1
2025-07-25,EURUSD,117,申,元首,寅子戌,true,up,1,LONG,-2.5,-2.5,0
2025-07-26,EURUSD,117,申,重審,丑亥酉,true,up,1,LONG,0.8,0.8,1
2025-07-28,EURUSD,117,申,重審,丑亥酉,true,up,1,LONG,-167.1,-167.1,0
2025-07-29,EURUSD,115,午,伏吟,亥未丑,false,down,2,LONG,-41.1,-41.1,0
2025-07-30,EURUSD,115,午,伏吟,申寅巳,false,down,2,LONG,-141.2,-141.2,0
2025-07-31,EURUSD,114,巳,重審,亥子丑,false,down,2,LONG,6.9,6.9,1
2025-08-01,EURUSD,114,巳,重審,辰巳午,false,down,1,LONG,169.3,169.3,1
2025-08-02,EURUSD,115,午,伏吟,卯子卯,true,up,2,LONG,7.3,7.3,1
2025-08-04,EURUSD,115,午,伏吟,巳申寅,false,up,2,SHORT,-11.7,11.7,1
2025-08-05,EURUSD,115,午,伏吟,巳申寅,false,up,2,SHORT,7.1,-7.1,0
2025-08-06,EURUSD,115,午,伏吟,未丑戌,true,up,2,LONG,85.9,85.9,1
2025-08-07,EURUSD,116,未,元首,卯寅丑,false,up,2,SHORT,5.7,-5.7,0
2025-08-08,EURUSD,116,未,昴星,戌午申,true,up,1,LONG,-28.4,-28.4,0
2025-08-11,EURUSD,116,未,涉害,戌酉申,true,up,1,LONG,-31.6,-31.6,0
2025-08-12,EURUSD,116,未,涉害,子亥戌,true,down,2,SHORT,59.8,-59.8,0
2025-08-13,EURUSD,116,未,涉害,丑子亥,true,up,2,LONG,30.1,30.1,1
2025-08-14,EURUSD,117,申,涉害,亥酉未,true,up,2,LONG,-58.1,-58.1,0
2025-09-05,EURUSD,116,未,重審,亥酉未,true,down,2,SHORT,61.7,-61.7,0
2025-09-09,EURUSD,117,申,遙剋·彈射,寅亥申,false,up,2,SHORT,-54.5,54.5,1
2025-09-10,EURUSD,117,申,元首,巳寅亥,true,up,2,LONG,-13.7,-13.7,0
2025-09-17,EURUSD,118,酉,涉害,巳丑酉,true,up,2,LONG,-54.0,-54.0,0
2025-09-18,EURUSD,118,酉,涉害,子申辰,true,up,2,LONG,-26.3,-26.3,0
2025-09-19,EURUSD,117,申,昴星,子未子,false,up,2,SHORT,-40.7,40.7,1
2025-09-22,EURUSD,117,申,遙剋·蒿矢,申巳寅,false,down,2,LONG,62.6,62.6,1
2025-09-23,EURUSD,118,酉,比用,亥午丑,true,up,2,LONG,12.5,12.5,1
2025-09-24,EURUSD,118,酉,比用,戌巳子,false,up,2,SHORT,-77.7,77.7,1
2025-10-13,EURUSD,115,午,涉害,亥酉未,true,down,2,SHORT,-27.2,27.2,1
2025-10-14,EURUSD,115,午,重審,丑亥酉,false,down,2,LONG,39.4,39.4,1
2025-10-15,EURUSD,116,未,遙剋·蒿矢,亥申巳,false,down,1,LONG,39.0,39.0,1
2025-10-16,EURUSD,116,未,遙剋·蒿矢·比用,寅亥申,false,up,2,SHORT,44.6,-44.6,0
2025-10-17,EURUSD,116,未,八專,亥辰辰,false,up,1,SHORT,-18.2,18.2,1
2025-10-18,EURUSD,116,未,涉害,巳寅亥,false,up,1,SHORT,-21.9,21.9,1
2025-10-20,EURUSD,116,未,元首,巳寅亥,false,up,1,SHORT,-15.7,15.7,1
2025-10-21,EURUSD,116,未,元首,巳寅亥,false,down,2,LONG,-40.4,-40.4,0
2025-10-22,EURUSD,116,未,元首,午卯子,false,down,2,LONG,4.9,4.9,1
2025-10-23,EURUSD,116,未,遙剋·彈射,丑戌未,false,down,2,LONG,9.9,9.9,1
2025-10-24,EURUSD,116,未,重審,戌午寅,false,down,2,LONG,15.4,15.4,1
2025-11-06,EURUSD,114,巳,涉害,亥酉未,true,down,2,SHORT,58.3,-58.3,0
2025-11-07,EURUSD,115,午,元首,巳寅亥,false,up,2,SHORT,14.6,-14.6,0
